gen,code,thai_1,thai_2,thai_3,thai_4,thai_5,thai_6,english_basic_1,english_basic_2,english_basic_3,english_basic_4,english_basic_5,english_basic_6,english_add_1,english_add_2,english_add_3,english_add_4,english_add_5,english_add_6,math_basic_1,math_basic_2,math_basic_3,math_basic_4,math_basic_5,math_basic_6,math_add_1,math_add_2,math_add_3,math_add_4,math_add_5,math_add_6,science_1,science_2,science_3,science_4,science_5,science_6,physics_1,physics_2,physics_3,physics_4,physics_5,physics_6,chemistry_1,chemistry_2,chemistry_3,chemistry_4,chemistry_5,chemistry_6,biology_1,biology_2,biology_3,biology_4,biology_5,biology_6,computer_1,computer_2,computer_3,computer_4,computer_5,computer_6,robot_1,robot_2,robot_3,robot_4,robot_5,robot_6,project_1,project_2,project_3,project_4,project_5,project_6,social1_1,social1_2,social1_3,social1_4,social1_5,social1_6,social2_1,social2_2,social2_3,social2_4,social2_5,social2_6,health_1,health_2,health_3,health_4,health_5,health_6,pe_1,pe_2,pe_3,pe_4,pe_5,pe_6,art_1,art_2,art_3,art_4,art_5,art_6,career_1,career_2,career_3,career_4,career_5,career_6,credits_studied_1,credits_studied_2,credits_studied_3,credits_studied_4,credits_studied_5,credits_studied_6,credits_earned_1,credits_earned_2,credits_earned_3,credits_earned_4,credits_earned_5,credits_earned_6,gpa_1,gpa_2,gpa_3,gpa_4,gpa_5,gpa_6
,06462,3.5,4,3.5,3.5,-,-,3,2.5,3.5,3,-,-,3.5,4,3.5,3.5,-,-,3.5,2,2.5,3,-,-,3.5,2.5,2,2.5,-,-,2,2.5,2.5,3.5,-,-,2,2,2.5,3,-,-,1.5,1.5,2.5,2.5,-,-,2,2.5,3,4,-,-,3.5,4,3.5,4,-,-,4,4,3.5,4,-,-,4,-,-,-,-,-,4,3.5,3.5,4,-,-,3,3.5,3.5,3,-,-,4,4,4,4,-,-,4,3.5,4,4,-,-,3.5,4,4,4,-,-,4,4,3.5,-,-,-,19.5,18.5,18.5,18.5,-,-,19.5,18.5,18.5,18.5,-,-,3.03,2.97,3.05,3.31,-,-
,06493,4,4,3.5,4,-,-,3,3.5,4,4,-,-,4,4,4,4,-,-,4,4,4,4,-,-,4,3,4,3.5,-,-,3.5,4,4,4,-,-,3.5,3.5,4,4,-,-,3.5,2.5,4,4,-,-,4,4,4,4,-,-,4,4,4,4,-,-,4,4,4,4,-,-,4,-,-,-,-,-,4,4,4,4,-,-,4,4,4,4,-,-,4,4,4,4,-,-,4,4,4,4,-,-,4,4,4,4,-,-,4,4,4,-,-,-,19.5,18.5,18.5,18.5,-,-,19.5,18.5,18.5,18.5,-,-,3.82,3.71,3.97,3.95,-,-
skt11,05415,1.5,3,1.5,1.5,2.5,1.5,1.5,2,2,3.5,3,3,3,4,4,4,4,4,3.5,2.5,4,3,4,4,2,2.5,3.5,2.5,2.5,2.5,3.5,2.5,1.5,3,4,4,2.5,4,2.5,3,2,2.5,2.5,2.5,2.5,3,1.5,2,0,1,1,1,2.5,1.5,4,3.5,4,4,4,4,4,4,2.5,4,-,4,4,-,-,-,-,-,2,3.5,3,1.5,2.5,2.5,2.5,4,2,3.5,2.5,1.5,3,4,4,4,4,4,4,4,4,4,2.5,4,4,3,3.5,4,4,4,4,4,3.5,4,-,-,19.5,18.5,18.5,18.5,16,17,18,18.5,18.5,18.5,16,17,2.73,2.91,2.79,3.00,2.89,2.92
,05442,1.5,2,1,2,3,1.5,1,1.5,1,2.5,1,1.5,2,2.5,3,3,3.5,3,4,1.5,2,2.5,2.5,3.5,1.5,1,2,1,2.5,2.5,2.5,2.5,1.5,1.5,4,3,1,1.5,2.5,2,1,2,1.5,2,2.5,3,2,1,0,0,1.5,1,2,1.5,2,2,3.5,1.5,1.5,3.5,4,4,4,4,-,3,4,-,-,-,-,-,1,1.5,2,1.5,3.5,3,2,4,1.5,3,3.5,2.5,4,3,4,4,4,4,4,4,4,4,3,4,3.5,1,4,4,3,4,4,4,3.5,4,-,-,19.5,18.5,18.5,18.5,16,17,18,17,18.5,18.5,16,17,2.07,1.81,2.40,2.25,2.31,2.51
,05448,2.5,3,2,2.5,2.5,3,1,2,2,2,2,3,3,3.5,4,3.5,4,4,3.5,2,2,1.5,3,3,1.5,2.5,2,2,2.5,2,4,3,2,2.5,3.5,2,1,2,2.5,2,1.5,2.5,1.5,2,2.5,2,1,1.5,2,0,2.5,2,2.5,1.5,2,3,3.5,4,1.5,3.5,2.5,4,4,4,-,1.5,4,-,-,-,-,-,2,3.5,2,1.5,2.5,3.5,2.5,4,2.5,3.5,3,3.5,3,4,4,4,4,4,4,4,4,4,4,3.5,4,4,4,4,3.5,3,4,4,4,4,-,-,19.5,18.5,18.5,18.5,16,17,19.5,17,18.5,18.5,16,17,2.39,2.51,2.74,2.67,2.37,2.67
,05536,3.5,4,2.5,3,4,3.5,1,3,1,2,2,2.5,2.5,3.5,2.5,3,3,3,3,1.5,2.5,2,3.5,3,2,1,2,2,2.5,2,3.5,4,2.5,3,4,4,1.5,4,2.5,2.5,2,2.5,2.5,3,2.5,2,3,2.5,1.5,0,2.5,4,2.5,2,4,3,4,4,4,4,4,4,4,4,-,3.5,4,-,-,-,-,-,3,4,4,3,4,4,3,4,2.5,4,3.5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2.5,4,-,-,19.5,18.5,18.5,18.5,16,17,19.5,17,18.5,18.5,16,17,2.85,2.81,2.78,3.05,3.14,3.04
,05665,3,4,2.5,3.5,3.5,4,2,3,2,3,3,4,3.5,3.5,4,4,4,4,4,3,2.5,3,3.5,4,3,2,3.5,3,3.5,3,4,3,2.5,4,4,4,3,3,3.5,3,3,3,3,3,3,3,3,3,2.5,2.5,2.5,2.5,2,2,4,4,4,4,4,4,4,4,4,4,-,3.5,4,-,-,-,-,-,4,4,3.5,2,3.5,4,2.5,4,2.5,3.5,3,3,4,4,4,4,4,4,4,4,4,4,3.5,3,4,4,3,4,4,4,4,4,4,4,-,-,19.5,18.5,18.5,18.5,16,17,19.5,18.5,18.5,18.5,16,17,3.41,3.31,3.21,3.35,3.34,3.44
,05669,4,4,3.5,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,-,4,4,-,-,-,-,-,4,4,4,4,4,4,3.5,4,3.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-,-,19.5,18.5,18.5,18.5,16,17,19.5,18.5,18.5,18.5,16,17,3.93,4.00,3.90,4.00,4.00,3.91
,05671,3.5,4,3,2.5,3,3.5,0,2.5,1.5,2.5,2.5,3,3,4,3.5,3.5,4,4,4,3,3.5,3,4,3.5,1.5,1.5,3,3,3.5,4,4,3.5,3.5,4,4,4,1.5,1.5,3,2,4,4,2.5,3,3,3,3.5,4,2.5,1.5,3,4,3.5,2.5,4,3,4,2.5,3,2.5,4,4,4,4,-,1.5,4,-,-,-,-,-,2.5,4,3,1,4,4,3.5,4,3,3,4,3.5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3.5,4,4,4,4,4,4,3.5,-,-,19.5,18.5,18.5,18.5,16,17,18.5,18.5,18.5,18.5,16,17,2.92,2.93,3.24,3.00,3.57,3.41
,05675,3,3.5,2.5,3,3.5,2,2.5,3.5,3.5,3.5,2.5,4,4,4,4,4,4,4,3,2,2.5,2,3.5,3,2.5,1.5,3,2,3,1.5,3.5,3.5,2.5,3.5,2.5,3,2,2,3,2,2,2,3,3,3,2.5,1.5,2.5,1.5,1.5,2.5,1.5,2.5,1,4,2,4,1.5,2,2.5,4,4,4,4,-,1.5,4,-,-,-,-,-,2.5,4,4,3,4,3,2.5,3,2.5,3.5,2,3.5,4,3.5,4,4,4,4,4,4,4,4,3,3.5,4,4,2.5,3.5,4,3.5,4,4,3.5,4,-,-,19.5,18.5,18.5,18.5,16,17,19.5,18.5,18.5,18.5,16,17,3.07,2.83,3.18,2.71,2.73,2.51
,05730,2.5,3.5,2,2.5,3,2.5,1,2.5,2,3,2,2,1.5,3.5,2.5,3.5,4,3.5,3,3,3.5,2.5,3.5,3,2,1.5,3,2.5,2.5,2.5,3.5,3.5,3.5,4,4,4,1.5,2,3,2,1,2.5,2,2.5,3,4,1.5,2,1.5,1,3,2.5,2.5,2,4,2.5,4,3,2,2.5,4,4,4,4,-,1.5,4,-,-,-,-,-,2,3.5,4,2.5,4,3,2.5,4,2.5,3.5,3,2.5,4,4,4,4,4,4,4,4,4,4,3.5,4,4,4,4,4,3.5,4,4,4,4,4,-,-,19.5,18.5,18.5,18.5,16,17,19.5,18.5,18.5,18.5,16,17,2.65,2.79,3.27,3.09,2.57,2.61
,05752,3.5,3.5,2.5,3.5,4,3.5,2.5,3.5,3,4,3.5,4,3.5,4,4,4,4,4,4,3,3.5,2,4,4,3,1.5,1.5,2.5,3,3.5,3,4,3.5,4,4,4,2,2,3,.2.5,2.5,3.5,2.5,3.5,2.5,3,3,3,2,1.5,3,3.5,4,3.5,4,3.5,4,4,4,4,4,4,4,4,-,4,4,-,-,-,-,-,3,3.5,3.5,2.5,4,4,3,4,2.5,4,4,3.5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3.5,4,4,4,4,4,4,4,-,-,19.5,18.5,18.5,18.5,16,17,19.5,18.5,18.5,18.5,16,17,3.14,3.14,3.14,3.37,3.59,3.72
,05787,3.5,4,2.5,3,4,4,2.5,4,3,3,4,4,3.5,3.5,4,4,4,4,4,4,3.5,4,4,4,3.5,3,3,3.5,4,4,4,4,3.5,4,4,4,2.5,2,3.5,3.5,3,4,2.5,3,3.5,4,4,3.5,3,3.5,4,4,4,2.5,4,4,4,4,4,4,4,4,4,4,-,4,4,-,-,-,-,-,3.5,4,4,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.5,4,4,4,4,4,-,-,19.5,18.5,18.5,18.5,16,17,19.5,18.5,18.5,18.5,16,17,3.43,3.55,3.64,3.74,3.85,3.79
,05795,4,4,3.5,3.5,4,4,3,4,3.5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.5,3.5,4,4,4,4,4,4,4,4,4,3.5,4,4,4,4,4,4,4,4,4,4,-,4,4,-,-,-,-,-,3.5,4,4,3.5,4,4,3.5,4,3.5,4,4,3.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-,-,19.5,18.5,18.5,18.5,16,17,19.5,18.5,18.5,18.5,16,17,3.82,3.95,3.93,3.94,4.00,3.94
,05824,4,4,3,4,4,3.5,2.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,2.5,4,4,4,3.5,3.5,3,4,4,4,4,3,3.5,4,4,4,2,4,4,4,4,4,4,4,4,4,4,-,4,4,-,-,-,-,-,4,4,4,4,4,4,3.5,4,3.5,4,4,3.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.5,4,4,4,4,4,4,4,-,-,19.5,18.5,18.5,18.5,16,17,19.5,18.5,18.5,18.5,16,17,3.71,3.63,3.91,4.00,4.00,3.72
,05857,1.5,3,1.5,2.5,3.5,3.5,2,3.5,1.5,3.5,3.5,3.5,3.5,3.5,4,3.5,4,4,4,3,2.5,3.5,3.5,3.5,2.5,1.5,3,3.5,3,3,3.5,2.5,2.5,3.5,4,1.5,3.5,4,3.5,3,3,3.5,2.5,2,2.5,1.5,2,1.5,1.5,1.5,2,2.5,3.5,1,4,3.5,3.5,2,1.5,3.5,3.5,4,3.5,3.5,-,2,4,-,-,-,-,-,3,3,2.5,2.5,4,3,2.5,3.5,2,4,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4,4,3.5,4,1.5,4,4,4,4,4,4,4,4,-,-,19.5,18.5,18.5,18.5,16,17,19.5,18.5,18.5,18.5,16,17,3.10,2.95,2.90,3.01,3.12,2.94
,05859,3,4,2.5,3.5,3.5,4,2.5,4,2.5,2.5,4,4,3.5,4,4,4,4,4,4,3,3.5,3,4,3.5,2.5,2.5,2.5,2,3,3,4,4,3.5,4,4,4,1.5,3,3,3,1.5,3.5,3,3,3,3,4,3,2.5,0,3.5,4,3.5,2.5,4,4,4,2.5,4,4,4,4,4,4,-,4,4,-,-,-,-,-,3,4,3.5,3,4,4,2.5,4,2.5,3.5,4,3.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-,-,19.5,18.5,18.5,18.5,16,17,19.5,18.5,18.5,18.5,16,17,3.19,3.31,3.32,3.25,3.51,3.58
,08086,3,4,3,3.5,4,3.5,1,2.5,1,2.5,3,3.5,2.5,2.5,3.5,4,4,4,4,4,4,4,4,4,3.5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3.5,3.5,4,4,4,4,2.5,3.5,3.5,4,4,2.5,4,4,4,4,4,4,4,4,4,4,-,4,4,-,-,-,-,-,2.5,3.5,3,3.5,4,4,2.5,4,2.5,3.5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.5,4,4,4,4,4,-,-,19.5,18.5,18.5,18.5,16,17,19.5,18.5,18.5,18.5,16,17,3.41,3.72,3.54,3.85,3.92,3.77
,08087,2,2,2,1,2.5,1,2.5,3,2.5,3,3,3,4,4,4,4,4,4,3,2,3,2.5,4,3,0,0,2.5,1.5,2.5,1.5,3,0,2,2,2,1.5,1,0,2.5,2.5,1.5,1.5,1.5,1.5,2,1.5,1,1,0,0,0,2,1.5,1,4,1,0,4,3,2.5,4,3.5,4,3,-,1,4,-,-,-,-,-,2,2,3,0,3,3,2.5,1.5,2,3,2,2.5,3,3,4,4,4,4,4,4,4,4,2,3.5,2,1,2.5,3.5,3.5,3.5,4,4,3,3.5,-,-,19.5,18.5,18.5,18.5,16,17,16.5,18.5,15,17.5,16,17,2.35,1.48,2.18,2.50,2.48,2.10
,08088,2.5,2,2,2,2.5,0,2,3,3,2.5,3,3.5,4,4,4,4,4,3.5,4,4,4,4,4,4,2.5,2.5,3,3.5,4,1.5,3,2.5,2,2,2,0,2,2.5,2.5,2.5,1,2,1.5,2,3,2.5,1,1,1,1.5,1,1,2,1,4,4,2,0,2,2.5,3.5,4,2.5,4,-,0,4,-,-,-,-,-,2.5,2.5,3.5,2.5,3.5,2,2.5,4,3,3,2.5,2,3.5,4,4,4,4,4,4,4,4,4,1.5,3,4,3.5,2.5,3.5,4,2.5,4,4,2.5,3,-,-,19.5,18.5,18.5,18.5,16,17,19.5,18.5,18.5,16.5,16,17,2.84,2.97,2.67,2.47,2.53,1.94
,05386,4,3.5,1.5,2.5,4,2.5,2,3,1.5,2,1.5,3,2.5,3,4,3,3.5,4,4,2.5,3,3,3,3.5,2.5,2,3.5,2,2.5,1.5,3,3,2.5,4,4,3.5,2,2,3,2.5,2,3,2,2.5,2.5,2.5,3,3.5,2.5,2,2,2,2.5,1.5,4,4,2,4,4,4,4,4,4,4,-,4,4,-,-,-,-,-,4,4,3,2,4,4,3,4,2.5,3,3,2.5,3,4,4,4,4,4,4,4,4,4,4,4,4,3.5,4,4,4,4,4,4,4,4,-,-,19.5,18.5,18.5,18.5,16,17,19.5,18.5,18.5,18.5,16,17,3.10,3.02,2.70,2.95,3.09,3.16
,05390,3.5,4,2.5,3,4,3,2,3.5,2.5,2.5,2.5,3,3,4,4,4,4,4,4,3.5,3,3.5,4,3,2.5,2.5,3.5,2,3,2,3.5,3.5,2.5,4,3.5,4,2,2,3,3.5,3,3,2,2.5,2.5,2.5,3,2.5,2.5,3,2,3,2.5,2,4,4,2,4,4,4,4,4,3.5,4,-,3.5,4,-,-,-,-,-,3.5,4,3,3,4,3.5,3.5,4,2.5,3.5,4,2.5,3.5,4,4,4,4,4,4,4,4,4,4,4,3.5,4,4,4,4,4,4,4,4,4,-,-,19.5,18.5,18.5,18.5,16,17,19.5,18.5,18.5,18.5,16,17,3.12,3.36,2.90,3.35,3.43,3.11
,05469,2,3.5,2,1.5,3,2.5,1,3,2,2,2,2,2.5,3,4,3.5,3.5,3.5,4,2.5,3,1,2.5,3,1,1.5,2,1.5,2,2.5,4,2.5,3,2.5,3,1,2,2,3,2,2,2,2,2,2.5,2.5,1.5,1.5,2.5,1,2.5,1.5,1.5,1.5,4,2.5,2.5,2,3,2.5,4,4,4,3.5,-,2,4,-,-,-,-,-,3.5,4,3.5,2,3,3.5,3,4,2.5,3,2,3,2.5,4,3.5,4,4,4,3.5,4,4,4,3.5,3.5,3.5,4,2,4,2.5,3,4,3.5,2,4,-,-,19.5,18.5,18.5,18.5,16,17,19.5,18.5,18.5,18.5,16,17,2.84,2.66,1.64,2.33,2.43,2.41
,05473,2,3,2.5,0,3,2,0,1.5,1,2,1.5,1.5,1.5,2.5,3,2.5,2.5,3.5,3,2,3,2.5,3.5,2.5,0,1.5,2.5,2,2,2,3.5,3.5,2.5,2.5,3,2.5,2.5,3,3,2.5,1.5,3.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,3.5,2.5,3,2,1,4,2.5,2.5,1.5,2,2.5,4,4,3.5,3.5,-,1.5,4,-,-,-,-,-,3,3.5,3,1.5,2.5,2.5,2.5,4,2.5,2.5,2,3,3,4,4,4,4,4,3.5,4,4,4,2,3,3.5,4,3,4,2.5,3.5,4,4,2,3,-,-,19.5,18.5,18.5,18.5,16,17,17,17,18.5,17.5,16,17,2.56,2.90,2.54,2.35,2.18,2.45
,05474,3.5,3.5,3,2.5,3.5,3.5,1,2.5,2.5,2,2.5,3,3,3.5,3.5,4,4,4,3.5,3,2.5,2,3.5,2.5,1,1,3,2.5,2.5,2,4,4,3,4,3.5,1,2.5,2,3,2.5,2,3,3,2.5,3,2,2.5,3,2.5,2,3.5,3,2,1.5,4,2.5,2.5,1,2,2.5,4,4,4,4,-,3,4,-,-,-,-,-,3.5,4,4,2.5,3.5,3,2.5,4,2.5,3,2.5,3.5,3.5,4,4,4,4,4,4,4,4,4,3.5,3.5,4,4,3.5,4,3.5,4,4,4,2.5,4,-,-,19.5,18.5,18.5,18.5,16,17,19.5,17,18.5,18.5,16,17,3.08,2.90,3.06,2.74,2.75,2.80
,05475,3.5,3,2.5,2.5,3.5,3,1,2.2,2,2,2.5,2.5,3,3,3.5,3,4,4,3,2,2.5,2,3,2.5,3,2,2.5,1.5,3,2,3.5,4,2.5,3.5,4,3.5,2,2,3,2.5,1.5,2,2.5,3,3,3,3,2,2,0,2.5,2.5,4,1.5,4,3,2.5,3.5,3,2.5,4,4,4,4,-,2.5,4,-,-,-,-,-,3,4,4,2.5,3.5,3,2.5,4,2.5,2,3,3.5,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3.5,4,4,4,4,3.5,3.5,3,-,-,19.5,18.5,18.5,18.5,16,17,19.5,18.5,18.5,18.5,16,17,3.01,2.79,2.90,2.79,3.12,2.57
,05568,2.5,3.5,1.5,1.5,3.5,1.5,0,1,1,2,1.5,1,1.5,2,3,2.5,2.5,2.5,3,1.5,1.5,0,2.5,2.5,1.5,0,1.5,0,2,1,4,1.5,0,0,0,2,1,0,2.5,2,1,2.5,1.5,1,2,0,1.5,1,1,1,0,0,1.5,1,2,1,2,4,4,4,4,3.5,3,2,-,3,4,-,-,-,-,-,1.5,2.5,3,1.5,3.5,3,2.5,3,2,2,2.5,3,3.5,4,4,4,4,4,4,4,4,4,4,3,3.5,0,3.5,4,3.5,3,4,4,3,3,-,-,19.5,18.5,18.5,18.5,16,17,18.5,12,18.5,11.5,15.5,17,2.21,1.55,1.91,1.64,2.37,2.26
,05688,3.5,4,2.5,2.5,4,3.5,1.5,2,1.5,2,2,2,2,3,3,3,3.5,3,3,3,2,3,3.5,3.5,3,2,3,2.5,3,3,4,4,2.5,4,4,4,3,2,3,3.5,2,3.5,2.5,3,3.5,3,4,3.5,2.5,3,2,4,4,2,4,4,3.5,4,4,4,4,4,3.5,4,-,4,4,-,-,-,-,-,3.5,4,3,3,4,4,2.5,4,3.5,3.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.5,4,-,-,19.5,18.5,18.5,18.5,16,17,19.5,18.5,18.5,18.5,16,17,3.21,3.24,2.86,3.37,3.46,3.39
,05705,4,4,3,4,4,4,1.5,3,1.5,2,3,3,2,3,3.5,3,4,4,4,4,4,4,4,4,3.5,1.5,4,3.5,4,4,4,4,2.5,4,4,4,3,3,3,4,3.5,3.5,2.5,3,3,3.5,3.5,3.5,3,2,4,4,4,2,4,4,2,4,4,4,4,4,3,4,-,4,4,-,-,-,-,-,4,4,4,3.5,4,4,3,4,2,3.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-,-,19.5,18.5,18.5,18.5,16,17,19.5,18.5,18.5,18.5,16,17,3.41,3.33,3.59,3.71,3.82,3.66
,05775,3.5,3.5,2.5,2.5,3.5,3.5,1.5,2.5,1.5,2.5,2,3,3,3.5,4,3.5,3.5,4,4,2,4,3,3,3.5,1.5,1,3,1.5,3,2.5,4,3,2.5,3,4,2,2.5,2.5,3,2,1.5,3,2,2,3,2.5,2.5,3.5,2.5,2,3,1.5,3,1.5,4,4,2,2.5,1.5,3.5,3.5,4,3,4,-,2.5,4,-,-,-,-,-,3,3,4,3,3,4,2.5,3,2,3.5,4,3,4,4,4,3.5,4,4,4,4,4,4,4,4,4,4,4,4,3.5,1.5,4,4,2.5,4,-,-,19.5,18.5,18.5,18.5,16,17,19.5,18.5,18.5,18.5,16,17,3.06,2.89,2.93,2.68,2.71,3.05
,08090,3.5,3.5,2.5,3,4,4,1,2.5,1,2,2,2.5,2.5,3,3.5,3,3.5,3.5,3,2.5,2.5,2.5,3.5,3.5,3,1.5,2,2,2.5,3,3.5,4,3,4,4,4,2,1.5,3,3,2,3,2.5,3,2.5,3,3,3.5,2,1.5,3,3,3,2.5,4,4,3.5,4,4,4,4,4,3.5,4,-,4,4,-,-,-,-,-,3.5,4,3.5,3,4,3.5,2,4,2,3.5,4,3.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-,-,19.5,18.5,18.5,18.5,16,17,19.5,18.5,18.5,18.5,16,17,3.02,3.00,2.97,3.20,3.23,3.42